Elements;insertBT;deleteBT;findBT;equalBT;isBT;nanoSec;500;1000;50;20;rand
500;3100;1700;100;0;100
1500;2433;1600;133;167;133
2500;2460;1660;180;180;80
3500;2629;1786;157;186;114
4500;2522;1656;133;144;111
5500;2473;1736;127;136;82
6500;2500;1854;154;185;69
7500;2560;1767;127;160;80
8500;2600;1782;129;171;100
9500;2663;1805;153;247;100
10500;2567;1862;157;186;95
11500;2617;1796;157;117;96
12500;2660;1848;148;228;88
13500;2696;1841;156;230;104
14500;2676;1921;145;217;100
15500;2645;1877;155;194;90
16500;2842;1964;167;209;97
17500;2743;1929;171;217;97
18500;2762;1968;162;216;108
19500;2769;1967;164;251;103
20500;2717;1978;171;202;100
21500;2812;1986;160;200;105
22500;2744;2013;173;207;104
23500;2785;2072;168;215;106
24500;2788;2118;176;222;100
25500;2884;2025;169;229;110
26500;2796;2042;181;217;104
27500;2862;2071;180;211;116
28500;2875;2072;174;237;93
29500;2861;2019;183;220;103
30500;2862;2103;187;228;103
31500;2894;2135;186;219;108
32500;2863;2142;192;231;103
33500;2921;2113;184;236;104
34500;2903;2123;187;249;94
35500;2928;2121;183;218;103
36500;2925;2138;196;218;104
37500;2913;2193;193;227;104
38500;2916;2171;188;229;105
39500;2896;2105;191;242;105
40500;3023;2281;207;235;114
41500;3011;2178;200;257;99
42500;2888;2096;187;248;102
43500;2892;2130;189;247;108
44500;2909;2110;196;234;101
45500;2955;2163;195;238;101
46500;2927;2148;194;227;99
47500;2869;2164;192;219;97
48500;2921;2143;192;248;97
49500;2949;2170;199;239;99
